CollectionIdentifier	Title	Subject
IWA0198	Cornelia Cameron papers	Iowa City (Iowa)
IWA0198	Cornelia Cameron papers	Taiwan
IWA0198	Cornelia Cameron papers	Korea
IWA0198	Cornelia Cameron papers	Japan
IWA0198	Cornelia Cameron papers	Maine
IWA0199	Virginia Harper papers	Iowa City (Iowa)
IWA0199	Virginia Harper papers	Lee County (Iowa)
IWA0199	Virginia Harper papers	Mason City (Iowa)
IWA0199	Virginia Harper papers	Fort Madison (Iowa)
IWA0200	T. Anne Cleary papers	Yucatan (Mexico : State)
IWA0200	T. Anne Cleary papers	Iowa City (Iowa)
IWA0201	Ella Bushnell-Hamlin papers	Davenport (Iowa)
IWA0201	Ella Bushnell-Hamlin papers	Atalissa (Iowa)
IWA0202	Pauline Lyon papers	Ottumwa (Iowa)
IWA0202	Pauline Lyon papers	Black Hawk County (Iowa)
IWA0203	Muriel Anne Dryden papers	Washington (D.C.)
IWA0203	Muriel Anne Dryden papers	New York (N.Y.)
IWA0204	Marion Jones Clark papers	Shelbyville (Ind.)
IWA0204	Marion Jones Clark papers	Livermore (Calif.)
IWA0205	League of Women Voters of Mount Vernon-Lisbon records	Lisbon (Iowa)
IWA0205	League of Women Voters of Mount Vernon-Lisbon records	Mount Vernon (Iowa)
IWA0206	Faith Knowler papers	Iowa City (Iowa)
IWA0206	Faith Knowler papers	Johnson County (Iowa)
IWA0207	"Ingleside Club (Mount Vernon, Iowa) records"	Mount Vernon (Iowa)
IWA0208	Constance Frick Irwin papers	Iowa City (Iowa)
IWA0208	Constance Frick Irwin papers	Evansville (Ind.)
IWA0209	Erin Rollenhagen papers	Ames (Iowa)
IWA0210	Esther Mae Christensen Grow memoir	Nebraska
IWA0210	Esther Mae Christensen Grow memoir	Iowa
IWA0211	University of Iowa Dental Hygiene Program records	Iowa City (Iowa)
IWA0212	Velma Stuit scrapbooks	Iowa City (Iowa)
IWA0213	Louane Newsome papers	Iowa City (Iowa)
IWA0213	Louane Newsome papers	Campo (Calif.)
IWA0214	Hazel Rogers papers	Cedar Falls (Iowa)
IWA0215	War Brides of World War II	Iowa
IWA0216	Clara Steen Skott papers	Madison (Wis.)
IWA0216	Clara Steen Skott papers	Shanghai (China)
IWA0216	Clara Steen Skott papers	Middleton (Wis.)
IWA0216	Clara Steen Skott papers	Ames (Iowa)
IWA0217	Catherine Lewis papers	Iowa
IWA0218	Martha Eimen papers	Egypt
IWA0218	Martha Eimen papers	Palestine
IWA0218	Martha Eimen papers	Syria
IWA0218	Martha Eimen papers	Middle East
IWA0218	Martha Eimen papers	Italy
IWA0218	Martha Eimen papers	Lebanon
IWA0219	Polk County Women Attorneys records	Polk County (Iowa)
IWA0220	Iowa City Women's Press records	Iowa City (Iowa)
IWA0221	Dora Mason papers	Iowa City (Iowa)
IWA0221	Dora Mason papers	Europe
IWA0222	Iowa Women in Natural Resources records	Iowa
IWA0223	"National Organization for Women, Dubuque Chapter records"	Dubuque (Iowa)
IWA0224	Ruth Scharnau papers	Dubuque (Iowa)
IWA0224	Ruth Scharnau papers	Springfield (Ill.)
IWA0225	Gladys Conn papers	Iowa City (Iowa)
IWA0225	Gladys Conn papers	Atlantic (Iowa)
IWA0225	Gladys Conn papers	Chicago (Ill.)
IWA0225	Gladys Conn papers	Russia
IWA0225	Gladys Conn papers	Burlington (Iowa)
IWA0225	Gladys Conn papers	England
IWA0225	Gladys Conn papers	Marne (Iowa)
IWA0225	Gladys Conn papers	Switzerland
IWA0225	Gladys Conn papers	Finland
IWA0226	Emma Lou Leeper Phelan papers	San Diego (Calif.)
IWA0226	Emma Lou Leeper Phelan papers	Brooklyn (Iowa)
IWA0227	June Parker Goldman papers	Forest City (Iowa)
IWA0227	June Parker Goldman papers	Iowa
IWA0227	June Parker Goldman papers	Des Moines (Iowa)
IWA0228	Ruby Crumley Mitchell diaries	Rhodes (Iowa)
IWA0228	Ruby Crumley Mitchell diaries	Los Angeles (Calif.)
IWA0229	League of Women Voters of Sioux City records	Sioux City (Iowa)
IWA0230	Rosemary Sackett papers	Des Moines (Iowa)
IWA0230	Rosemary Sackett papers	Storm Lake (Iowa)
IWA0230	Rosemary Sackett papers	Pocahontas (Iowa)
IWA0232	Vergene Donovan papers	Spirit Lake (Iowa)
IWA0233	Karen Goodenow papers	Iowa
IWA0233	Karen Goodenow papers	Wall Lake (Iowa)
IWA0234	Gretchen Anton Coy papers	Okoboji (Iowa)
IWA0234	Gretchen Anton Coy papers	Saint Louis (Mo.)
IWA0235	Martha Nash papers	Cyprus
IWA0235	Martha Nash papers	Talladega (Ala.)
IWA0235	Martha Nash papers	Omaha (Neb.)
IWA0235	Martha Nash papers	Dubuque (Iowa)
IWA0235	Martha Nash papers	Waterloo (Iowa)
IWA0236	Kim Landhuis papers	McPherson (Kan.)
IWA0236	Kim Landhuis papers	Saigon (Vietnam)
